Date,Region,New_Tests,Total_Tests,Avg_Testing_Rate,Positivity,Turn_Around,Tests_epi_week
2020-02-27,Fraser,65,811,41.285714285714285,1.38,32,385
2020-02-27,Interior,3,62,3.857142857142857,0,56,23
2020-02-27,Northern,0,0,NA,0,0,0
2020-02-27,Unknown,1,10,NA,0,32,3
2020-02-27,Vancouver Coastal,56,532,27.428571428571427,0,44,223
2020-02-27,Vancouver Island,1,89,2.4285714285714284,0,56,31
2020-02-28,BC,150,1673,88.14285714285714,0.32,32,677
2020-02-28,Fraser,85,896,49.285714285714285,0.58,32,385
2020-02-28,Interior,11,73,4,0,104,23
2020-02-28,Northern,0,0,NA,0,0,0
2020-02-28,Unknown,0,0,NA,0,0,0
2020-02-28,Vancouver Coastal,44,576,31.428571428571427,0,56,223
2020-02-28,Vancouver Island,10,99,3.4285714285714284,0,80,31
2020-02-29,BC,106,1779,96.71428571428571,0.44,32,677
2020-02-29,Fraser,60,956,55,0.52,32,385
2020-02-29,Interior,4,77,3.7142857142857144,0,68,23
2020-02-29,Northern,5,24,2.857142857142857,0,32,12
2020-02-29,Unknown,0,0,NA,0,0,0
2020-02-29,Vancouver Coastal,24,600,31.857142857142858,0.45,56,223
2020-02-29,Vancouver Island,13,112,5,0,56,31
2020-03-01,BC,74,1853,104.85714285714286,0.54,32,2524
2020-03-01,Fraser,32,988,58,0.49,32,1035
2020-03-01,Interior,0,0,NA,0,0,0
2020-03-01,Northern,0,0,NA,0,0,0
2020-03-01,Unknown,1,11,1.5714285714285714,0,8,5
2020-03-01,Vancouver Coastal,40,640,37,0.39,32,966
2020-03-01,Vancouver Island,1,113,4.857142857142857,0,8,211
2020-03-02,BC,200,2053,124.57142857142857,0.69,56,2524
2020-03-02,Fraser,106,1094,67.71428571428571,0.84,56,1035
2020-03-02,Interior,0,0,NA,0,0,0
2020-03-02,Northern,0,0,NA,0,0,0
2020-03-02,Unknown,0,0,NA,0,0,0
2020-03-02,Vancouver Coastal,85,725,45.714285714285715,0.31,56,966
2020-03-02,Vancouver Island,9,122,5.857142857142857,0,80,211
2020-03-03,BC,338,2391,161.85714285714286,0.71,32,2524
2020-03-03,Fraser,126,1220,78.85714285714286,0.72,32,1035
2020-03-03,Interior,67,144,12.857142857142858,0,80,248
2020-03-03,Northern,10,34,4.142857142857143,0,80,59
2020-03-03,Unknown,0,0,NA,0,0,0
2020-03-03,Vancouver Coastal,109,834,58.57142857142857,0.73,32,966
2020-03-03,Vancouver Island,26,148,8.857142857142858,0,32,211
2020-03-04,BC,290,2681,183.42857142857142,0.7,56,2524
2020-03-04,Fraser,96,1316,81.42857142857143,0.88,56,1035
2020-03-04,Interior,17,161,15,0,56,248
2020-03-04,Northern,12,46,5.714285714285714,0,104,59
2020-03-04,Unknown,0,0,NA,0,0,0
2020-03-04,Vancouver Coastal,147,981,72.14285714285714,0.59,32,966
2020-03-04,Vancouver Island,18,166,11.142857142857142,0,21,211
2020-03-05,BC,308,2989,209.42857142857142,1.23,32,2524
2020-03-05,Fraser,112,1428,88.14285714285714,1.13,32,1035
2020-03-05,Interior,27,188,18.714285714285715,0,80,248
2020-03-05,Northern,11,57,7,0,92,59
2020-03-05,Unknown,0,0,NA,0,0,0
2020-03-05,Vancouver Coastal,105,1086,79.14285714285714,1.81,32,966
2020-03-05,Vancouver Island,53,219,18.571428571428573,0,32,211
2020-03-06,BC,809,3798,303.57142857142856,1.13,56,2524
2020-03-06,Fraser,350,1778,126,0.91,56,1035
2020-03-06,Interior,60,248,27,0,56,248
2020-03-06,Northern,21,78,9.428571428571429,0,56,59
2020-03-06,Unknown,0,0,NA,0,0,0
2020-03-06,Vancouver Coastal,295,1381,115,1.86,56,966
2020-03-06,Vancouver Island,83,302,29,0,56,211
2020-03-07,BC,505,4303,360.57142857142856,1.19,56,2524
2020-03-07,Fraser,213,1991,147.85714285714286,1.26,56,1035
2020-03-07,Interior,77,325,37.57142857142857,0,80,248
2020-03-07,Northern,5,83,9.571428571428571,0,56,59
2020-03-07,Unknown,4,15,2,0,12.6,5
2020-03-07,Vancouver Coastal,185,1566,138,1.55,32,966
2020-03-07,Vancouver Island,21,323,30.142857142857142,0,8,211
2020-03-08,BC,438,4741,412.57142857142856,1.14,55,7177
2020-03-08,Fraser,195,2186,171.14285714285714,1.25,31,2437
2020-03-08,Interior,57,382,44.142857142857146,0,79,862
2020-03-08,Northern,23,106,12.428571428571429,0,79,185
2020-03-08,Unknown,0,0,NA,0,0,0
2020-03-08,Vancouver Coastal,88,1654,144.85714285714286,1.68,24.3,2553
2020-03-08,Vancouver Island,75,398,40.714285714285715,0,79,1136
2020-03-09,BC,545,5286,461.85714285714283,1.3,31,7177
2020-03-09,Fraser,222,2408,187.71428571428572,1.37,55,2437
2020-03-09,Interior,11,393,45.142857142857146,0,115,862
2020-03-09,Northern,2,108,12,1.19,115,185
2020-03-09,Unknown,1,16,1.8571428571428572,0,43.8,4
2020-03-09,Vancouver Coastal,194,1848,160.42857142857142,1.87,31,2553
2020-03-09,Vancouver Island,115,513,55.857142857142854,0.26,7,1136
2020-03-10,BC,808,6094,529,1.4,55,7177
2020-03-10,Fraser,272,2680,208.57142857142858,1.51,55,2437
2020-03-10,Interior,147,540,56.57142857142857,0,103,862
2020-03-10,Northern,5,113,11.285714285714286,2.53,127,185
2020-03-10,Unknown,1,17,1.7142857142857142,0,5.3,4
2020-03-10,Vancouver Coastal,274,2122,184,2.02,31,2553
2020-03-10,Vancouver Island,109,622,67.71428571428571,0.21,7,1136
2020-03-11,BC,1213,7307,660.8571428571429,1.62,55,7177
2020-03-11,Fraser,376,3056,248.57142857142858,1.32,55,2437
2020-03-11,Interior,89,629,66.85714285714286,0,79,862
2020-03-11,Northern,59,172,18,2.38,103,185
2020-03-11,Unknown,0,0,NA,0,0,0
2020-03-11,Vancouver Coastal,458,2580,228.42857142857142,2.88,31,2553
2020-03-11,Vancouver Island,231,853,98.14285714285714,0.29,7,1136
2020-03-12,BC,1148,8455,780.8571428571429,1.41,31,7177
2020-03-12,Fraser,325,3381,279,1.28,55,2437
2020-03-12,Interior,185,814,89.42857142857143,0,79,862
2020-03-12,Northern,20,192,19.285714285714285,2.22,55,185
2020-03-12,Unknown,0,0,NA,0,0,0
2020-03-12,Vancouver Coastal,408,2988,271.7142857142857,2.26,31,2553
2020-03-12,Vancouver Island,210,1063,120.57142857142857,0.59,7,1136
2020-03-13,BC,1474,9929,875.8571428571429,1.44,31,7177
2020-03-13,Fraser,490,3871,299,1.15,31,2437
2020-03-13,Interior,120,934,98,0,55,862
2020-03-13,Northern,21,213,19.285714285714285,2.22,79,185
2020-03-13,Unknown,2,19,1.7142857142857142,0,19.5,4
2020-03-13,Vancouver Coastal,621,3609,318.2857142857143,2.38,31,2553
2020-03-13,Vancouver Island,220,1283,140.14285714285714,0.71,7,1136
2020-03-14,BC,1551,11480,1025.2857142857142,1.42,31,7177
2020-03-14,Fraser,557,4428,348.14285714285717,0.86,31,2437
2020-03-14,Interior,253,1187,123.14285714285714,0,55,862
2020-03-14,Northern,55,268,26.428571428571427,1.62,79,185
2020-03-14,Unknown,0,0,NA,0,0,0
2020-03-14,Vancouver Coastal,510,4119,364.7142857142857,2.66,31,2553
2020-03-14,Vancouver Island,176,1459,162.28571428571428,0.88,7,1136
2020-03-15,BC,1777,13257,1216.5714285714287,1.6,55,14272
2020-03-15,Fraser,610,5038,407.42857142857144,1.16,55,4688
2020-03-15,Interior,207,1394,144.57142857142858,0.3,7,1748
2020-03-15,Northern,35,303,28.142857142857142,2.03,103,495
2020-03-15,Unknown,0,0,NA,0,0,0
2020-03-15,Vancouver Coastal,762,4881,461,2.57,55,5489
2020-03-15,Vancouver Island,163,1622,174.85714285714286,1.06,7,1850
2020-03-16,BC,3477,16734,1635.4285714285713,1.55,79,14272
2020-03-16,Fraser,1521,6559,593,0.99,79,4688
2020-03-16,Interior,344,1738,192.14285714285714,0.22,79,1748
2020-03-16,Northern,71,374,38,1.13,103,495
2020-03-16,Unknown,1,20,1.5714285714285714,0,103,2
2020-03-16,Vancouver Coastal,1197,6078,604.2857142857143,2.6,79,5489
2020-03-16,Vancouver Island,343,1965,207.42857142857142,1.45,7,1850
2020-03-17,BC,3041,19775,1954.4285714285713,1.74,55,14272
2020-03-17,Fraser,1064,7623,706.1428571428571,1.4,55,4688
2020-03-17,Interior,341,2079,219.85714285714286,0.19,79,1748
