"REF_DATE","GEO","DGUID","Gender","Age group","Transmission","Hospitalization","Death","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929424","1.1.2.1.2.1","34","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929425","1.1.2.1.2.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929426","1.1.2.1.2.3","23","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929427","1.1.2.1.2.4","11","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929428","1.1.2.1.3.1","406","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929429","1.1.2.1.3.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929430","1.1.2.1.3.3","316","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929431","1.1.2.1.3.4","90","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not hospitalized","Total, by death status","Number","223","units","0","v1160929432","1.1.2.1.4.1","60937","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929433","1.1.2.1.4.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not hospitalized","No, not deceased","Number","223","units","0","v1160929434","1.1.2.1.4.3","53587","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929435","1.1.2.1.4.4","7350","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929436","1.1.2.1.5.1","19501","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929437","1.1.2.1.5.2","0","","","","0"
"2021","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929438","1.1.2.1.5.3","9074","","","","0"
