pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,numtoday,percenttoday,ratetotal,numdeathstoday,percentdeath,ratedeaths,numrecoveredtoday,percentrecover,raterecovered,numteststoday,ratetests,numactive,percentactive,rateactive,numtotal_last7,numtotal_last14,ratetotal_last7,ratetotal_last14,avgtotal_last7,avgincidence_last7,numdeaths_last7,numdeaths_last14,ratedeaths_last7,ratedeaths_last14,avgdeaths_last7,avgratedeaths_last7,numtestedtoday,ratetested
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-05-2020,,260,0,3,260,10043,14295,247,0,0.00,49.95,0,0.00,0.58,3,1.21,47.45,135,27461.18,10,3.85,1.92,1,2,0.19,0.00,0.14,0.03,0,0,0.00,0.00,0.00,0.00,147,19292.94
13,New Brunswick,Nouveau-Brunswick,12-05-2020,,120,0,0,120,17339,18292,118,0,0.00,15.20,0,0.00,0.00,0,0.00,14.95,305,23177.17,2,1.67,0.25,1,2,0.13,0.00,0.14,0.02,0,0,0.00,0.00,0.00,0.00,155,21969.65
12,Nova Scotia,Nouvelle-Écosse,12-05-2020,,1020,0,48,1020,35430,38946,864,1,0.10,102.82,0,0.00,4.84,97,11.23,87.09,291,39257.90,108,10.59,10.89,29,105,2.92,0.00,4.14,0.42,7,21,0.71,2.12,1.00,0.10,407,35713.75
11,Prince Edward Island,Île-du-Prince-Édouard,12-05-2020,,27,0,0,27,4029,3995,27,0,0.00,16.43,0,0.00,0.00,0,0.00,16.43,69,24312.61,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,119,24519.53
60,Yukon,Yukon,12-05-2020,,11,0,0,11,1094,1072,11,0,0.00,25.59,0,0.00,0.00,0,0.00,25.59,17,24938.35,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,6,25450.15
61,Northwest Territories,Territoires du Nord-Ouest,12-05-2020,,5,0,0,5,1817,1899,5,0,0.00,10.99,0,0.00,0.00,0,0.00,10.99,8,41732.59,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,8,39930.56
62,Nunavut,Nunavut,12-05-2020,,0,0,0,0,604,516,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,2,13095.45,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,28,15328.78
99,Repatriated travellers,Voyageurs rapatriés,12-05-2020,,13,0,0,13,76,48,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,12-05-2020,,71144,11,5155,71155,1145568,1065122,34042,1175,1.65,186.05,176,3.41,13.48,1048,3.08,89.01,27720,27849.16,31958,44.91,83.56,9109,21129,23.82,0.00,1301.29,3.40,1124,2302,2.94,6.02,161.00,0.42,23939,29952.54
59,British Columbia,Colombie-Britannique,13-05-2020,,2376,0,132,2376,97060,111067,1859,16,0.67,45.56,1,0.76,2.53,27,1.45,35.65,1206,21298.40,385,16.20,7.38,121,289,2.32,0.00,17.29,0.33,8,23,0.15,0.44,1.00,0.02,1502,18612.39
48,Alberta,Alberta,13-05-2020,,6407,0,120,6407,181624,188660,5076,62,0.97,144.21,2,1.67,2.70,210,4.14,114.25,2794,42463.46,1211,18.90,27.26,444,1242,9.99,0.00,63.43,1.43,8,33,0.18,0.74,1.00,0.03,3416,40879.80
47,Saskatchewan,Saskatchewan,13-05-2020,,577,0,6,577,35189,36779,385,4,0.69,48.90,0,0.00,0.51,11,2.86,32.63,256,31172.77,186,32.24,15.76,65,194,5.51,0.00,9.29,0.79,0,0,0.00,0.00,0.00,0.00,388,29825.13
46,Manitoba,Manitoba,13-05-2020,,278,11,7,289,31416,31139,251,0,0.00,20.89,0,0.00,0.51,0,0.00,18.14,418,22503.10,31,10.73,2.24,6,16,0.43,0.00,0.86,0.06,0,1,0.00,0.07,0.00,0.00,617,22703.28
35,Ontario,Ontario,13-05-2020,,21236,0,1749,21236,459524,313467,15845,329,1.55,143.23,38,2.17,11.80,454,2.87,106.87,11957,21142.67,3642,17.15,24.56,2514,5508,16.96,0.00,359.14,2.42,332,759,2.24,5.12,47.00,0.32,14642,30993.89
24,Quebec,Québec,13-05-2020,,39931,0,3220,39931,296528,327912,10470,706,1.77,464.07,89,2.76,37.42,414,3.95,121.68,6334,38109.38,26241,65.72,304.97,5604,13337,65.13,0.00,800.57,9.30,710,1459,8.25,16.96,101.00,1.18,5640,34461.99
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-05-2020,,260,0,3,260,10149,14470,247,0,0.00,49.95,0,0.00,0.58,0,0.00,47.45,175,27797.36,10,3.85,1.92,1,2,0.19,0.00,0.14,0.03,0,0,0.00,0.00,0.00,0.00,106,19496.57
13,New Brunswick,Nouveau-Brunswick,13-05-2020,,120,0,0,120,17765,18742,118,0,0.00,15.20,0,0.00,0.00,0,0.00,14.95,450,23747.35,2,1.67,0.25,0,2,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,426,22509.42
12,Nova Scotia,Nouvelle-Écosse,13-05-2020,,1024,0,51,1024,35811,39373,870,4,0.39,103.22,3,5.88,5.14,6,0.69,87.70,427,39688.32,103,10.06,10.38,26,89,2.62,0.00,3.71,0.37,10,23,1.01,2.32,1.00,0.14,381,36097.80
11,Prince Edward Island,Île-du-Prince-Édouard,13-05-2020,,27,0,0,27,4199,4059,27,0,0.00,16.43,0,0.00,0.00,0,0.00,16.43,64,24702.10,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,170,25554.11
60,Yukon,Yukon,13-05-2020,,11,0,0,11,1106,1076,11,0,0.00,25.59,0,0.00,0.00,0,0.00,25.59,4,25031.41,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,12,25729.31
61,Northwest Territories,Territoires du Nord-Ouest,13-05-2020,,5,0,0,5,1817,1912,5,0,0.00,10.99,0,0.00,0.00,0,0.00,10.99,13,42018.28,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,39930.56
62,Nunavut,Nunavut,13-05-2020,,0,0,0,0,608,531,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,15,13476.13,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,4,15430.30
99,Repatriated travellers,Voyageurs rapatriés,13-05-2020,,13,0,0,13,76,48,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,13-05-2020,,72265,11,5288,72276,1172872,1089235,35164,1121,1.55,188.98,133,2.52,13.83,1122,3.19,91.94,24113,28479.63,31824,44.03,83.21,8781,20679,22.96,0.00,1254.43,3.28,1068,2298,2.79,6.01,153.00,0.40,27304,30666.44
