"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2021-06-17","Western","Thunder Bay Jail",0,78,19
"2021-06-17","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-17","Toronto","Toronto South Detention Centre",21,270,35
"2021-06-17","Central","Milton-Vanier Centre For Women",1,33,17
"2021-06-20","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-20","Central","Central East Correctional Centre",0,177,24
"2021-06-20","Central","Central North Correctional Centre",15,83,3
"2021-06-20","Western","Elgin-Middlesex Det. Centre",0,64,12
"2021-06-20","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-20","Northern","Kenora Jail",0,8,1
"2021-06-20","Northern","Monteith Correctional Centre",4,23,12
"2021-06-20","Central","Maplehurst Correctional Complex",6,239,43
"2021-06-20","Northern","North Bay Jail",6,0,0
"2021-06-20","Central","Niagara Detention Centre",0,11,4
"2021-06-20","Western","Ottawa Carleton Detention Centre",4,70,7
"2021-06-20","Central","Ontario Correctional Institute",0,89,2
"2021-06-20","Eastern","Quinte Detention Centre",0,4,1
"2021-06-20","Western","Sarnia Jail",1,40,12
"2021-06-20","Western","South West Detention Center",3,31,13
"2021-06-20","Northern","Sudbury Jail",0,1,1
"2021-06-20","Western","Stradford Jail",0,0,0
"2021-06-20","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-20","Western","Thunder Bay Jail",0,78,19
"2021-06-20","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-20","Toronto","Toronto South Detention Centre",31,270,35
"2021-06-20","Central","Milton-Vanier Centre For Women",1,33,17
"2021-06-21","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-21","Central","Central East Correctional Centre",0,177,24
"2021-06-21","Central","Central North Correctional Centre",15,83,3
"2021-06-21","Western","Elgin-Middlesex Det. Centre",0,64,12
"2021-06-21","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-21","Northern","Kenora Jail",0,8,1
"2021-06-21","Northern","Monteith Correctional Centre",3,24,12
"2021-06-21","Central","Maplehurst Correctional Complex",8,239,43
"2021-06-21","Northern","North Bay Jail",6,0,0
"2021-06-21","Central","Niagara Detention Centre",0,11,4
"2021-06-21","Western","Ottawa Carleton Detention Centre",3,72,7
"2021-06-21","Central","Ontario Correctional Institute",0,89,2
"2021-06-21","Eastern","Quinte Detention Centre",0,4,1
"2021-06-21","Western","Sarnia Jail",1,40,12
"2021-06-21","Western","South West Detention Center",3,31,13
"2021-06-21","Northern","Sudbury Jail",0,1,1
"2021-06-21","Western","Stradford Jail",0,0,0
"2021-06-21","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-21","Western","Thunder Bay Jail",0,78,19
"2021-06-21","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-21","Toronto","Toronto South Detention Centre",33,271,35
"2021-06-21","Central","Milton-Vanier Centre For Women",1,33,17
"2021-06-22","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-22","Central","Central East Correctional Centre",0,177,24
"2021-06-22","Central","Central North Correctional Centre",15,83,3
"2021-06-22","Western","Elgin-Middlesex Det. Centre",0,64,12
"2021-06-22","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-22","Northern","Kenora Jail",0,8,1
"2021-06-22","Northern","Monteith Correctional Centre",3,24,12
"2021-06-22","Central","Maplehurst Correctional Complex",8,239,43
"2021-06-22","Northern","North Bay Jail",6,0,0
"2021-06-22","Central","Niagara Detention Centre",0,11,4
"2021-06-22","Western","Ottawa Carleton Detention Centre",3,72,7
"2021-06-22","Central","Ontario Correctional Institute",0,89,2
"2021-06-22","Eastern","Quinte Detention Centre",0,4,1
"2021-06-22","Western","Sarnia Jail",0,40,12
"2021-06-22","Western","South West Detention Center",3,31,13
"2021-06-22","Northern","Sudbury Jail",0,1,1
"2021-06-22","Western","Stradford Jail",0,0,0
"2021-06-22","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-22","Western","Thunder Bay Jail",0,78,19
"2021-06-22","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-22","Toronto","Toronto South Detention Centre",33,271,35
"2021-06-22","Central","Milton-Vanier Centre For Women",1,33,17
"2021-06-23","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-23","Central","Central East Correctional Centre",0,177,24
"2021-06-23","Central","Central North Correctional Centre",12,86,3
"2021-06-23","Western","Elgin-Middlesex Det. Centre",1,64,12
"2021-06-23","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-23","Northern","Kenora Jail",0,8,1
"2021-06-23","Northern","Monteith Correctional Centre",1,25,13
"2021-06-23","Central","Maplehurst Correctional Complex",8,239,43
"2021-06-23","Northern","North Bay Jail",19,0,0
"2021-06-23","Central","Niagara Detention Centre",1,11,4
"2021-06-23","Western","Ottawa Carleton Detention Centre",5,72,7
"2021-06-23","Central","Ontario Correctional Institute",0,89,2
"2021-06-23","Eastern","Quinte Detention Centre",0,4,1
"2021-06-23","Western","Sarnia Jail",0,40,12
"2021-06-23","Western","South West Detention Center",3,31,13
"2021-06-23","Northern","Sudbury Jail",0,1,1
"2021-06-23","Western","Stradford Jail",0,0,0
"2021-06-23","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-23","Western","Thunder Bay Jail",0,78,19
"2021-06-23","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-23","Toronto","Toronto South Detention Centre",35,271,35
"2021-06-23","Central","Milton-Vanier Centre For Women",5,33,17
"2021-06-24","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-24","Central","Central East Correctional Centre",0,177,24
"2021-06-24","Central","Central North Correctional Centre",12,86,3
"2021-06-24","Western","Elgin-Middlesex Det. Centre",1,64,12
"2021-06-24","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-24","Northern","Kenora Jail",0,8,1
"2021-06-24","Northern","Monteith Correctional Centre",1,25,13
"2021-06-24","Central","Maplehurst Correctional Complex",7,240,43
"2021-06-24","Northern","North Bay Jail",19,0,0
"2021-06-24","Central","Niagara Detention Centre",1,11,4
"2021-06-24","Western","Ottawa Carleton Detention Centre",5,72,7
"2021-06-24","Central","Ontario Correctional Institute",0,89,2
"2021-06-24","Eastern","Quinte Detention Centre",0,4,1
"2021-06-24","Western","Sarnia Jail",0,40,12
"2021-06-24","Western","South West Detention Center",3,31,13
"2021-06-24","Northern","Sudbury Jail",0,1,1
"2021-06-24","Western","Stradford Jail",0,0,0
"2021-06-24","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-24","Western","Thunder Bay Jail",0,78,19
"2021-06-24","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-24","Toronto","Toronto South Detention Centre",37,271,35
"2021-06-24","Central","Milton-Vanier Centre For Women",5,33,17
"2021-06-27","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-27","Central","Central East Correctional Centre",11,177,24
"2021-06-27","Central","Central North Correctional Centre",3,97,3
"2021-06-27","Western","Elgin-Middlesex Det. Centre",0,64,12
"2021-06-27","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-27","Northern","Kenora Jail",0,8,1
"2021-06-27","Northern","Monteith Correctional Centre",0,26,13
"2021-06-27","Central","Maplehurst Correctional Complex",4,244,43
"2021-06-27","Northern","North Bay Jail",0,0,0
"2021-06-27","Central","Niagara Detention Centre",0,11,4
"2021-06-27","Western","Ottawa Carleton Detention Centre",4,74,7
"2021-06-27","Central","Ontario Correctional Institute",0,89,2
"2021-06-27","Eastern","Quinte Detention Centre",0,4,1
"2021-06-27","Western","Sarnia Jail",0,40,12
"2021-06-27","Western","South West Detention Center",4,31,13
"2021-06-27","Northern","Sudbury Jail",0,1,1
"2021-06-27","Western","Stradford Jail",0,0,0
"2021-06-27","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-27","Western","Thunder Bay Jail",1,78,19
"2021-06-27","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-27","Toronto","Toronto South Detention Centre",17,292,35
"2021-06-27","Central","Milton-Vanier Centre For Women",5,34,17
"2021-06-28","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-28","Central","Central East Correctional Centre",13,177,24
"2021-06-28","Central","Central North Correctional Centre",3,97,3
"2021-06-28","Western","Elgin-Middlesex Det. Centre",0,64,12
"2021-06-28","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-28","Northern","Kenora Jail",0,8,1
"2021-06-28","Northern","Monteith Correctional Centre",0,26,13
"2021-06-28","Central","Maplehurst Correctional Complex",4,244,43
"2021-06-28","Northern","North Bay Jail",0,0,0
"2021-06-28","Central","Niagara Detention Centre",2,11,4
"2021-06-28","Western","Ottawa Carleton Detention Centre",2,76,7
"2021-06-28","Central","Ontario Correctional Institute",0,89,2
"2021-06-28","Eastern","Quinte Detention Centre",0,4,1
"2021-06-28","Western","Sarnia Jail",0,40,12
"2021-06-28","Western","South West Detention Center",4,31,13
"2021-06-28","Northern","Sudbury Jail",0,1,1
"2021-06-28","Western","Stradford Jail",0,0,0
"2021-06-28","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-28","Western","Thunder Bay Jail",1,78,19
"2021-06-28","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-28","Toronto","Toronto South Detention Centre",17,292,35
"2021-06-28","Central","Milton-Vanier Centre For Women",4,35,17
"2021-06-29","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-06-29","Central","Central East Correctional Centre",14,177,24
"2021-06-29","Central","Central North Correctional Centre",3,98,3
"2021-06-29","Western","Elgin-Middlesex Det. Centre",0,59,13
"2021-06-29","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-06-29","Northern","Kenora Jail",0,8,1
"2021-06-29","Northern","Monteith Correctional Centre",0,26,13
"2021-06-29","Central","Maplehurst Correctional Complex",3,245,43
"2021-06-29","Northern","North Bay Jail",0,0,0
"2021-06-29","Central","Niagara Detention Centre",0,11,4
"2021-06-29","Western","Ottawa Carleton Detention Centre",2,76,7
"2021-06-29","Central","Ontario Correctional Institute",0,89,2
"2021-06-29","Eastern","Quinte Detention Centre",0,4,1
"2021-06-29","Western","Sarnia Jail",0,40,12
"2021-06-29","Western","South West Detention Center",2,32,14
"2021-06-29","Northern","Sudbury Jail",0,1,1
"2021-06-29","Western","Stradford Jail",0,0,0
"2021-06-29","Western","Thunder Bay Correctional Centre",0,48,16
"2021-06-29","Western","Thunder Bay Jail",1,78,19
"2021-06-29","Toronto","Toronto East Detention Centre",0,42,5
"2021-06-29","Toronto","Toronto South Detention Centre",10,304,35
"2021-06-29","Central","Milton-Vanier Centre For Women",4,35,17
"2021-07-01","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-01","Central","Central East Correctional Centre",14,177,24
"2021-07-01","Central","Central North Correctional Centre",6,98,3
"2021-07-01","Western","Elgin-Middlesex Det. Centre",0,59,13
"2021-07-01","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-07-01","Northern","Kenora Jail",0,8,1
"2021-07-01","Northern","Monteith Correctional Centre",0,26,13
"2021-07-01","Central","Maplehurst Correctional Complex",1,246,44
"2021-07-01","Northern","North Bay Jail",0,0,0
"2021-07-01","Central","Niagara Detention Centre",1,11,4
"2021-07-01","Western","Ottawa Carleton Detention Centre",1,76,8
"2021-07-01","Central","Ontario Correctional Institute",0,89,2
"2021-07-01","Eastern","Quinte Detention Centre",0,4,1
"2021-07-01","Western","Sarnia Jail",0,40,12
"2021-07-01","Western","South West Detention Center",2,33,14
"2021-07-01","Northern","Sudbury Jail",0,1,1
"2021-07-01","Western","Stradford Jail",0,0,0
"2021-07-01","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-01","Western","Thunder Bay Jail",0,78,20
"2021-07-01","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-01","Toronto","Toronto South Detention Centre",6,308,35
"2021-07-01","Central","Milton-Vanier Centre For Women",4,35,17
"2021-07-04","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-04","Central","Central East Correctional Centre",3,188,24
"2021-07-04","Central","Central North Correctional Centre",6,99,3
"2021-07-04","Western","Elgin-Middlesex Det. Centre",0,59,13
"2021-07-04","Central","Hamilton Wentworth Det Centre",0,70,10
"2021-07-04","Northern","Kenora Jail",0,8,1
"2021-07-04","Northern","Monteith Correctional Centre",0,26,13
"2021-07-04","Central","Maplehurst Correctional Complex",2,246,44
"2021-07-04","Northern","North Bay Jail",0,0,0
"2021-07-04","Central","Niagara Detention Centre",0,11,4
"2021-07-04","Western","Ottawa Carleton Detention Centre",1,76,8
"2021-07-04","Central","Ontario Correctional Institute",0,89,2
"2021-07-04","Eastern","Quinte Detention Centre",0,4,1
"2021-07-04","Western","Sarnia Jail",0,40,12
"2021-07-04","Western","South West Detention Center",2,32,14
"2021-07-04","Northern","Sudbury Jail",0,1,1
"2021-07-04","Western","Stradford Jail",0,0,0
"2021-07-04","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-04","Western","Thunder Bay Jail",0,78,20
"2021-07-04","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-04","Toronto","Toronto South Detention Centre",4,312,35
"2021-07-04","Central","Milton-Vanier Centre For Women",1,38,17
"2021-07-05","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-05","Central","Central East Correctional Centre",4,188,24
"2021-07-05","Central","Central North Correctional Centre",4,101,3
"2021-07-05","Western","Elgin-Middlesex Det. Centre",0,59,13
"2021-07-05","Central","Hamilton Wentworth Det Centre",1,70,10
"2021-07-05","Northern","Kenora Jail",1,8,1
"2021-07-05","Northern","Monteith Correctional Centre",0,26,13
"2021-07-05","Central","Maplehurst Correctional Complex",1,247,44
"2021-07-05","Northern","North Bay Jail",0,0,0
"2021-07-05","Central","Niagara Detention Centre",0,11,4
"2021-07-05","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-05","Central","Ontario Correctional Institute",0,89,2
"2021-07-05","Eastern","Quinte Detention Centre",0,4,1
"2021-07-05","Western","Sarnia Jail",0,40,12
"2021-07-05","Western","South West Detention Center",2,33,14
"2021-07-05","Northern","Sudbury Jail",0,1,1
"2021-07-05","Western","Stradford Jail",0,0,0
"2021-07-05","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-05","Western","Thunder Bay Jail",0,78,20
"2021-07-05","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-05","Toronto","Toronto South Detention Centre",3,313,35
"2021-07-05","Central","Milton-Vanier Centre For Women",1,38,17
"2021-07-06","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-06","Central","Central East Correctional Centre",3,190,24
"2021-07-06","Central","Central North Correctional Centre",4,101,3
"2021-07-06","Western","Elgin-Middlesex Det. Centre",0,59,13
"2021-07-06","Central","Hamilton Wentworth Det Centre",1,69,10
"2021-07-06","Northern","Kenora Jail",1,8,1
"2021-07-06","Northern","Monteith Correctional Centre",0,26,13
"2021-07-06","Central","Maplehurst Correctional Complex",1,248,44
"2021-07-06","Northern","North Bay Jail",0,0,0
"2021-07-06","Central","Niagara Detention Centre",0,11,4
"2021-07-06","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-06","Central","Ontario Correctional Institute",0,89,2
"2021-07-06","Eastern","Quinte Detention Centre",0,4,1
"2021-07-06","Western","Sarnia Jail",0,40,12
"2021-07-06","Western","South West Detention Center",2,33,14
"2021-07-06","Northern","Sudbury Jail",0,1,1
"2021-07-06","Western","Stradford Jail",0,0,0
"2021-07-06","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-06","Western","Thunder Bay Jail",0,78,20
"2021-07-06","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-06","Toronto","Toronto South Detention Centre",3,313,35
"2021-07-06","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-07","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-07","Central","Central East Correctional Centre",4,190,24
"2021-07-07","Central","Central North Correctional Centre",4,101,4
"2021-07-07","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-07","Central","Hamilton Wentworth Det Centre",1,69,10
"2021-07-07","Northern","Kenora Jail",1,8,1
"2021-07-07","Northern","Monteith Correctional Centre",0,26,13
"2021-07-07","Central","Maplehurst Correctional Complex",2,248,44
"2021-07-07","Northern","North Bay Jail",0,0,0
"2021-07-07","Central","Niagara Detention Centre",0,11,4
"2021-07-07","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-07","Central","Ontario Correctional Institute",0,89,2
"2021-07-07","Eastern","Quinte Detention Centre",0,4,1
"2021-07-07","Western","Sarnia Jail",0,40,12
"2021-07-07","Western","South West Detention Center",1,33,15
"2021-07-07","Northern","Sudbury Jail",0,1,1
"2021-07-07","Western","Stradford Jail",0,0,0
"2021-07-07","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-07","Western","Thunder Bay Jail",0,78,20
"2021-07-07","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-07","Toronto","Toronto South Detention Centre",3,314,35
"2021-07-07","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-08","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-08","Central","Central East Correctional Centre",4,190,24
"2021-07-08","Central","Central North Correctional Centre",4,101,4
"2021-07-08","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-08","Central","Hamilton Wentworth Det Centre",1,69,10
"2021-07-08","Northern","Kenora Jail",1,8,1
"2021-07-08","Northern","Monteith Correctional Centre",0,26,13
"2021-07-08","Central","Maplehurst Correctional Complex",2,248,44
"2021-07-08","Northern","North Bay Jail",0,0,0
"2021-07-08","Central","Niagara Detention Centre",0,11,4
"2021-07-08","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-08","Central","Ontario Correctional Institute",0,89,2
"2021-07-08","Eastern","Quinte Detention Centre",0,4,1
"2021-07-08","Western","Sarnia Jail",0,40,12
"2021-07-08","Western","South West Detention Center",0,34,15
"2021-07-08","Northern","Sudbury Jail",0,1,1
"2021-07-08","Western","Stradford Jail",0,0,0
"2021-07-08","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-08","Western","Thunder Bay Jail",0,78,20
"2021-07-08","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-08","Toronto","Toronto South Detention Centre",3,314,35
"2021-07-08","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-11","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-11","Central","Central East Correctional Centre",9,190,24
"2021-07-11","Central","Central North Correctional Centre",0,105,4
"2021-07-11","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-11","Central","Hamilton Wentworth Det Centre",2,69,10
"2021-07-11","Northern","Kenora Jail",1,8,1
"2021-07-11","Northern","Monteith Correctional Centre",0,26,13
"2021-07-11","Central","Maplehurst Correctional Complex",2,248,44
"2021-07-11","Northern","North Bay Jail",0,0,0
"2021-07-11","Central","Niagara Detention Centre",0,11,4
"2021-07-11","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-11","Central","Ontario Correctional Institute",0,89,2
"2021-07-11","Eastern","Quinte Detention Centre",0,4,1
"2021-07-11","Western","Sarnia Jail",0,40,12
"2021-07-11","Western","South West Detention Center",0,35,15
"2021-07-11","Northern","Sudbury Jail",0,1,1
"2021-07-11","Western","Stradford Jail",0,0,0
"2021-07-11","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-11","Western","Thunder Bay Jail",0,78,20
"2021-07-11","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-11","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-11","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-12","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-12","Central","Central East Correctional Centre",8,191,24
"2021-07-12","Central","Central North Correctional Centre",0,105,4
"2021-07-12","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-12","Central","Hamilton Wentworth Det Centre",2,69,10
"2021-07-12","Northern","Kenora Jail",1,8,1
"2021-07-12","Northern","Monteith Correctional Centre",0,26,13
"2021-07-12","Central","Maplehurst Correctional Complex",3,248,44
"2021-07-12","Northern","North Bay Jail",0,0,0
"2021-07-12","Central","Niagara Detention Centre",0,11,4
"2021-07-12","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-12","Central","Ontario Correctional Institute",0,89,2
"2021-07-12","Eastern","Quinte Detention Centre",0,4,1
"2021-07-12","Western","Sarnia Jail",0,40,12
"2021-07-12","Western","South West Detention Center",0,35,15
"2021-07-12","Northern","Sudbury Jail",0,1,1
"2021-07-12","Western","Stradford Jail",0,0,0
"2021-07-12","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-12","Western","Thunder Bay Jail",0,78,20
"2021-07-12","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-12","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-12","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-13","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-13","Central","Central East Correctional Centre",6,193,24
"2021-07-13","Central","Central North Correctional Centre",0,105,4
"2021-07-13","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-13","Central","Hamilton Wentworth Det Centre",2,69,10
"2021-07-13","Northern","Kenora Jail",1,8,1
"2021-07-13","Northern","Monteith Correctional Centre",0,26,13
"2021-07-13","Central","Maplehurst Correctional Complex",2,249,44
"2021-07-13","Northern","North Bay Jail",0,0,0
"2021-07-13","Central","Niagara Detention Centre",0,11,4
"2021-07-13","Western","Ottawa Carleton Detention Centre",0,77,8
"2021-07-13","Central","Ontario Correctional Institute",0,89,2
"2021-07-13","Eastern","Quinte Detention Centre",0,4,1
"2021-07-13","Western","Sarnia Jail",0,40,12
"2021-07-13","Western","South West Detention Center",0,35,15
"2021-07-13","Northern","Sudbury Jail",0,1,1
"2021-07-13","Western","Stradford Jail",0,0,0
"2021-07-13","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-13","Western","Thunder Bay Jail",0,78,20
"2021-07-13","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-13","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-13","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-14","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-14","Central","Central East Correctional Centre",7,193,25
"2021-07-14","Central","Central North Correctional Centre",0,105,4
"2021-07-14","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-14","Central","Hamilton Wentworth Det Centre",2,71,10
"2021-07-14","Northern","Kenora Jail",0,9,1
"2021-07-14","Northern","Monteith Correctional Centre",0,26,13
"2021-07-14","Central","Maplehurst Correctional Complex",3,249,44
"2021-07-14","Northern","North Bay Jail",0,0,0
"2021-07-14","Central","Niagara Detention Centre",0,11,4
"2021-07-14","Western","Ottawa Carleton Detention Centre",1,77,10
"2021-07-14","Central","Ontario Correctional Institute",0,89,2
"2021-07-14","Eastern","Quinte Detention Centre",0,4,1
"2021-07-14","Western","Sarnia Jail",0,40,12
"2021-07-14","Western","South West Detention Center",0,35,15
"2021-07-14","Northern","Sudbury Jail",0,1,1
"2021-07-14","Western","Stradford Jail",0,0,0
"2021-07-14","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-14","Western","Thunder Bay Jail",0,78,20
"2021-07-14","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-14","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-14","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-15","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-15","Central","Central East Correctional Centre",5,195,25
"2021-07-15","Central","Central North Correctional Centre",0,105,4
"2021-07-15","Western","Elgin-Middlesex Det. Centre",1,59,13
"2021-07-15","Central","Hamilton Wentworth Det Centre",1,72,10
"2021-07-15","Northern","Kenora Jail",0,9,1
"2021-07-15","Northern","Monteith Correctional Centre",0,26,13
"2021-07-15","Central","Maplehurst Correctional Complex",3,249,44
"2021-07-15","Northern","North Bay Jail",0,0,0
"2021-07-15","Central","Niagara Detention Centre",0,11,4
"2021-07-15","Western","Ottawa Carleton Detention Centre",1,77,10
"2021-07-15","Central","Ontario Correctional Institute",0,89,2
"2021-07-15","Eastern","Quinte Detention Centre",0,4,1
"2021-07-15","Western","Sarnia Jail",0,40,12
"2021-07-15","Western","South West Detention Center",0,35,15
"2021-07-15","Northern","Sudbury Jail",0,1,1
"2021-07-15","Western","Stradford Jail",0,0,0
"2021-07-15","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-15","Western","Thunder Bay Jail",0,78,20
"2021-07-15","Toronto","Toronto East Detention Centre",0,42,5
"2021-07-15","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-15","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-18","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-18","Central","Central East Correctional Centre",3,196,26
"2021-07-18","Central","Central North Correctional Centre",0,105,4
"2021-07-18","Western","Elgin-Middlesex Det. Centre",1,60,13
"2021-07-18","Central","Hamilton Wentworth Det Centre",1,72,10
"2021-07-18","Northern","Kenora Jail",0,9,1
"2021-07-18","Northern","Monteith Correctional Centre",0,26,13
"2021-07-18","Central","Maplehurst Correctional Complex",3,249,44
"2021-07-18","Northern","North Bay Jail",0,0,1
"2021-07-18","Central","Niagara Detention Centre",0,11,4
"2021-07-18","Western","Ottawa Carleton Detention Centre",0,78,10
"2021-07-18","Central","Ontario Correctional Institute",0,89,2
"2021-07-18","Eastern","Quinte Detention Centre",0,4,1
"2021-07-18","Western","Sarnia Jail",0,40,12
"2021-07-18","Western","South West Detention Center",0,35,15
"2021-07-18","Northern","Sudbury Jail",0,1,1
"2021-07-18","Western","Stradford Jail",0,0,0
"2021-07-18","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-18","Western","Thunder Bay Jail",0,78,20
"2021-07-18","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-18","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-18","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-19","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-19","Central","Central East Correctional Centre",2,195,26
"2021-07-19","Central","Central North Correctional Centre",0,105,4
"2021-07-19","Western","Elgin-Middlesex Det. Centre",1,60,13
"2021-07-19","Central","Hamilton Wentworth Det Centre",0,73,10
"2021-07-19","Northern","Kenora Jail",0,8,1
"2021-07-19","Northern","Monteith Correctional Centre",0,26,13
"2021-07-19","Central","Maplehurst Correctional Complex",2,249,44
"2021-07-19","Northern","North Bay Jail",0,0,1
"2021-07-19","Central","Niagara Detention Centre",0,11,4
"2021-07-19","Western","Ottawa Carleton Detention Centre",1,77,10
"2021-07-19","Central","Ontario Correctional Institute",0,89,2
"2021-07-19","Eastern","Quinte Detention Centre",0,4,1
"2021-07-19","Western","Sarnia Jail",0,40,12
"2021-07-19","Western","South West Detention Center",0,35,15
"2021-07-19","Northern","Sudbury Jail",0,1,1
"2021-07-19","Western","Stradford Jail",0,0,0
"2021-07-19","Western","Thunder Bay Correctional Centre",0,48,16
"2021-07-19","Western","Thunder Bay Jail",0,78,20
"2021-07-19","Toronto","Toronto East Detention Centre",1,42,5
"2021-07-19","Toronto","Toronto South Detention Centre",1,316,35
"2021-07-19","Central","Milton-Vanier Centre For Women",0,39,17
"2021-07-20","Northern","Algoma Treatment and Remand Centre",0,3,1
"2021-07-20","Central","Central East Correctional Centre",2,195,26
"2021-07-20","Central","Central North Correctional Centre",0,105,4
"2021-07-20","Western","Elgin-Middlesex Det. Centre",1,60,13
"2021-07-20","Central","Hamilton Wentworth Det Centre",0,73,10
